sampleKEY, date, time, timeElapsed, timeUnit, actual, blank, temp
19,,09:58:00,40,sec,1.0305,,22.4
19,,09:59:00,2,min,1.0250,,
19,,10:02:00,5,min,1.0241,,22.3
19,,10:12:00,15,min,1.0204,,
19,,10:27:00,30,min,1.0197,,
19,,10:57:00,60,min,1.0170,,22.2
19,,11:27:00,90,min,1.0161,,
19,,11:57:00,2,hour,1.0158,,22.0
19,,12:57:00,3,hour,1.0155,,
19,,16:57:00,7,hour,1.0142,,21.4
19,,09:58:00,24,hour,1.0124,,21.8
20,,13:09:00,40,sec,1.0190,1.0049,
20,,13:10:00,2,min,1.0170,1.0049,22.3
20,,13:13:00,5,min,1.0145,1.0049,
20,,13:23:00,15,min,1.0141,1.0049,22.1
20,,13:38:00,30,min,1.0124,1.0049,
20,,14:08:00,60,min,1.0122,1.0049,22.0
20,,14:38:00,90,min,1.0119,1.0049,
20,,15:08:00,2,hour,1.0117,1.0049,22.0
20,,17:08:00,4,hour,1.0108,1.0049,
20,,13:08:00,24,hour,1.0082,1.0049,22.0
21,,10:32:00,40,sec,1.0296,,22.1
21,,10:33:00,2,min,1.0284,,
21,,10:36:00,5,min,1.0258,,22.1
21,,10:46:00,15,min,1.0229,,
21,,11:01:00,30,min,1.0215,,
21,,11:31:00,60,min,1.0199,,22.0
21,,12:01:00,90,min,1.0180,,
21,,12:31:00,2,hour,1.0175,,21.9
21,,13:31:00,3,hour,1.0169,,
21,,16:31:00,6,hour,1.0153,,21.3
21,,10:31:00,24,hour,1.0135,,21.0
22,,09:31:00,40,sec,1.0233,,22.0
22,,09:32:00,2,min,1.0225,,
22,,09:35:00,5,min,1.0201,,21.8
22,,09:45:00,15,min,1.0180,,
22,,10:00:00,30,min,1.0170,,
22,,10:30:00,60,min,1.0161,,21.7
22,,11:00:00,90,min,1.0150,,
22,,11:30:00,2,hour,1.0150,,21.1
22,,12:30:00,3,hour,1.0145,,
22,,15:30:00,6,hour,1.0140,,20.9
22,,09:30:00,24,hour,1.0133,,20.6
23,,10:31:00,40,sec,1.0320,,22.1
23,,10:32:00,2,min,1.0298,,
23,,10:35:00,5,min,1.0259,,22.1
23,,10:45:00,15,min,1.0226,,
23,,11:00:00,30,min,1.0217,,
23,,11:30:00,60,min,1.0217,,21.8
23,,12:00:00,90,min,1.0217,,
23,,12:30:00,2,hour,1.0165,,21.4
23,,13:30:00,3,hour,1.0155,,
23,,16:30:00,6,hour,1.0150,,20.7
23,,10:30:00,24,hour,1.0128,,20.9
24,,10:04:00,40,sec,1.0220,,22.0
24,,10:05:00,2,min,1.0210,,
24,,10:08:00,5,min,1.0203,,21.9
24,,10:18:00,15,min,1.0179,,
24,,10:33:00,30,min,1.0170,,
24,,11:03:00,60,min,1.0157,,21.2
24,,11:33:00,90,min,1.0155,,
24,,12:03:00,2,hour,1.0147,,21.0
24,,13:03:00,3,hour,1.0145,,
24,,16:03:00,6,hour,1.0137,,20.5
24,,10:03:00,24,hour,1.0132,,20.4
25,,13:22:00,40,sec,1.0190,,22.3
25,,13:24:00,2,min,1.0160,,
25,,13:27:00,5,min,1.0150,,22.0
25,,13:37:00,15,min,1.0140,,
25,,13:52:00,30,min,1.0110,,
25,,14:22:00,60,min,1.0110,,22.0
25,,14:52:00,90,min,1.0103,,
25,,15:22:00,2,hour,1.0101,,21.8
25,,16:22:00,3,hour,1.0100,,
25,,19:22:00,6,hour,1.0080,,21.5
25,,13:22:00,24,hour,1.0080,,21.0
26,,11:07:00,40,sec,1.0190,,22.0
26,,11:08:00,2,min,1.0170,,
26,,11:11:00,5,min,1.0160,,22.0
26,,11:21:00,15,min,1.0150,,
26,,11:36:00,30,min,1.0140,,
26,,12:06:00,60,min,1.0130,,21.9
26,,12:36:00,90,min,1.0123,,
26,,13:06:00,2,hour,1.0113,,21.3
26,,14:06:00,3,hour,1.0113,,
26,,17:05:00,6,hour,1.0105,,21.3
26,,11:06:00,24,hour,1.0080,,21.0
27,,13:40:00,40,sec,1.0170,,22.0
27,,13:42:00,2,sec,1.0150,,
27,,13:45:00,5,min,1.0140,,22.0
27,,13:55:00,15,min,1.0130,,
27,,14:10:00,30,min,1.0125,,
27,,14:40:00,60,min,1.0110,,22.0
27,,15:10:00,90,min,1.0110,,
27,,15:40:00,2,hour,1.0100,,21.5
27,,16:40:00,3,hour,1.0100,,
27,,19:40:00,6,hour,1.0070,,21.5
27,,13:40:00,24,hour,1.0070,,21.0
28,,09:50:00,40,sec,1.0310,,22.0
28,,09:52:00,2,min,1.0300,,
28,,09:55:00,5,min,1.0270,,21.9
28,,10:05:00,15,min,1.0250,,
28,,10:20:00,30,min,1.0220,,
28,,10:50:00,60,min,1.0200,,21.5
28,,11:20:00,90,min,1.0190,,
28,,11:50:00,2,hour,1.0190,,21.3
28,,12:50:00,3,hour,1.0180,,
28,,15:50:00,6,hour,1.0170,,20.9
28,,09:50:00,24,hour,1.0160,,20.9
29,,11:02:00,40,sec,1.0210,,24.0
29,,11:04:00,2,min,1.0200,,
29,,11:07:00,5,min,1.0180,,23.0
29,,11:17:00,15,min,1.0160,,
29,,11:32:00,30,min,1.0155,,
29,,12:02:00,60,min,1.0140,,22.3
29,,12:32:00,90,min,1.0140,,
