"","sampleKEY","sampleID","sampleDate","researcher","Sand","Silt","Clay"
"1",123,"BUND 4-7F","7/27/2016","Alejandro",69.3,14.2,16.5
"2",122,"CHAV 0-15","7/28/2016","Alejandro",82.6,6.5,10.9
"3",121,"SWAN 15-30 1F","7/27/2016","Kay",61,19.6,19.4
"4",120,"ZAMO 0-15","7/8/2016","Alejandro",82.6,9.2,8.2
"5",119,"ZAMO 15-30","7/8/2016","Alejandro",84.1,6.9,9
"6",118,"ZAMO 4-7F","7/8/2016","Bailey",68.5,22.3,9.2
"7",117,"SAND 0-15","7/8/2016","Bailey",70.1,16.5,13.4
"8",116,"JUDY 15-30","7/27/2016","Kay",70.2,16.5,13.3
"9",115,"ZAMO2 4-7","6/21/2016","kAY",77,11.5,11.5
"10",114,"ZAMO2 15-30","6/21/2016","Kay",79.1,10.4,10.5
"11",113,"ZAMO2 0-15","6/20/2016","Kay",79.4,9.3,11.3
"12",112,"LULE 0-15","6/20/2016","Kay",85.6,7.6,6.8
"13",111,"NELS 4-7","7/29/2016","Alejandro",66.3,14.9,18.8
"14",110,"NELS 15-30","7/29/2016","Alejandro",65.2,16.3,18.5
"15",109,"NELS 0-15","7/29/2016","Alejandro",68.9,14.3,16.8
"16",108,"ARDI 4-7","5/31/2016","Alejandro",37.5,21.1,41.4
"17",107,"LEID 0-15","6/20/2016","Alejandro",67.7,17.4,14.9
"18",106,"LULE 15-30","6/22/2016","Alejandro",85.6,6.1,8.3
"19",105,"LULE 4-7","6/22/2016","Alejandro",86.4,5.4,8.2
"20",104,"BEMA 0-15","6/24/2016","Bailey",59.5,20.3,20.2
"21",103,"BEMA 15-30","6/24/2016","Bailey",56,24.5,19.5
"22",102,"BEMA 4-7","6/24/2016","Bailey",67.5,15.9,16.6
"23",101,"RACO 0-15","6/27/2016","Bailey",84.1,8.9,7
"24",100,"LEID 4-7","6/21/2016","Bailey",79.2,13.5,7.3
"25",99,"CRYS 15-30","6/27/2016","Bailey",74.7,14.4,10.9
"26",98,"CRYS 4-7","6/27/2016","Bailey",75.9,15.3,8.8
"27",97,"LEID 15-30","6/21/2016","Bailey",68.2,20.6,11.2
"28",96,"CRYS 0-15","6/27/2016","Alejandro",63.4,26.6,10
"29",95,"MOND 15-30","6/28/2016","Alejandro`",67.3,19.5,13.2
"30",94,"MOND 4-7","6/28/2016","Alejandro",48.1,30,21.9
"31",93,"JAVI 15-30","6/29/2016","Alejandro",83.6,8.2,8.2
"32",92,"JAVI 0-15","6/29/2016","Alejandro",82.7,11.3,6
"33",91,"ARD 0-15","6/29/2019","Aparna",79.6,10.6,9.8
"34",90,"JAVI 4-7","6/29/2019","Aparna",78.3,9.7,12
"35",89,"RACO2 4-7","6/28/2016","Bailey",72.8,22.5,4.7
"36",88,"RACO2 15-30","6/28/2016","Kay",82.7,12,5.3
"37",87,"RASM 4-7","7/1/2016","Alejandro",71.5,16.8,11.7
"38",86,"MOND 0-15","6/30/2016","Alejandro",77.7,13.6,8.7
"39",84,"USDA 4-7","6/30/2016","Aparna",77.8,14.3,7.9
"40",83,"USDA 15-30","6/30/2016","Aparna",83.2,11.5,5.3
"41",82,"ARD13 4-7","7/1/2016","Alejandro",69.7,15.8,14.5
"42",81,"RASM 15-30","7/1/2016","Aparna",60.1,28.8,11.1
"43",80,"RASM 0-15","7/1/2016","Aparna",59.8,26.3,13.9
"44",79,"ARD13 15-30","7/5/2016","Alejandro",75,10.7,14.3
"45",78,"USDA 0-15","7/5/2016","Aparna",76.1,15.6,8.3
"46",77,"USDA 0-15","7/5/2016","Aparna",76.1,15.6,8.3
"47",76,"JUDY 0-15","7/26/2016","Bailey",72.1,13.1,14.8
"48",75,"JUDY 0-15","7/26/2016","Bailey",72.1,13.2,14.7
"49",74,"RIGO 15-30","7/26/2016","Bailey",69,18.5,12.5
"50",73,"ALBA 4-7","7/26/2016","Bailey",74.8,13,12.2
"51",72,"RIGO 4-7","7/27/2016","Bailey",57,24.1,18.9
"52",71,"SWAN 4-7","7/27/2016","Bailey",66.1,22.4,11.5
"53",70,"RIGO 0-15","7/27/2016","Bailey",56.3,20.3,23.4
"54",69,"CHAV 15-30","7/27/2016","Alejandro",84,6.1,9.9
"55",68,"ALBA 0-15","7/27/2016","Alejandro ",81,11,8
"56",67,"FOGL 0-15","7/11/2016","Bailey",60.5,22.7,16.8
"57",66,"LIVE 4-7F","7/11/2016","Bailey",71.3,15.2,13.5
"58",65,"SAND 15-30","7/11/2016","Bailey",77,13.5,9.5
"59",64,"SAND 15-30","7/11/2016","Bailey",77,13.5,9.5
"60",63,"FOGL 15-30","7/11/2016","Alejandro",68,17.1,14.9
"61",62,"SAND 4-7F","7/11/2016","Alejandro",76.3,12.6,11.1
"62",61,"LIVE 0-15 1F","7/11/2016","Alejandro",66.4,19.5,14.1
"63",60,"PAUL 4-7F","7/12/2016","Bailey",52.2,24.1,23.7
"64",59,"PAUL 15-30 1F","7/12/2016","Bailey",52.7,22.7,24.6
"65",58,"LIVE 15-30 1F","7/12/2016","Bailey",72.9,15.9,11.2
"66",57,"PAUL 0-15 1F","7/12/2016","Bailey",52.2,22.5,25.3
