Site,SampleDate,Location,Wsair,Time,Elapsed_Time,Et_Units,Temp,Ractual,Rblank,
Zamo,7/7/2015,4-7F,60,11:09:00 AM,0,s,22.1,,1.0030,
Zamo,7/7/2015,4-7F,60,NA,30,s,,1.0100,,
Zamo,7/7/2015,4-7F,60,NA,60,s,,1.0100,,
Zamo,7/7/2015,4-7F,60,NA,3,m,,1.0080,,
Zamo,7/7/2015,4-7F,60,NA,10,m,,1.0070,,
Zamo,7/7/2015,4-7F,60,NA,30,m,,1.0070,,
Zamo,7/7/2015,4-7F,60,NA,60,m,21.9,1.0065,1.0030,
Zamo,7/7/2015,4-7F,60,NA,90,m,,1.0065,,
Zamo,7/7/2015,4-7F,60,NA,120,m,21.8,1.0064,1.0030,
Zamo,7/7/2015,4-7F,60,NA,1440,m,21,1.0055,1.0030,
Zamo,7/7/2015,0-15,60,11:22:00 AM,0,s,22.1,,1.0030,
Zamo,7/7/2015,0-15,60,NA,30,s,,1.01,,
Zamo,7/7/2015,0-15,60,NA,60,s,,1.0095,,
Zamo,7/7/2015,0-15,60,NA,3,m,,1.0085,,
Zamo,7/7/2015,0-15,60,NA,10,m,,1.0075,,
Zamo,7/7/2015,0-15,60,NA,30,m,,1.007,,
Zamo,7/7/2015,0-15,60,NA,60,m,21.9,1.007,1.0030,
Zamo,7/7/2015,0-15,60,NA,90,m,,1.007,,
Zamo,7/7/2015,0-15,60,NA,120,m,21.8,1.007,1.0030,
Zamo,7/7/2015,0-15,60,NA,1440,m,21,1.0055,1.0030,
Zamo,7/7/2015,15-30,60,11:42:00 AM,0,s,22.1,,1.0030,
Zamo,7/7/2015,15-30,60,NA,30,s,,1.009,,
Zamo,7/7/2015,15-30,60,NA,60,s,,1.0085,,
Zamo,7/7/2015,15-30,60,NA,3,m,,1.0075,,
Zamo,7/7/2015,15-30,60,NA,10,m,,1.0075,,
Zamo,7/7/2015,15-30,60,NA,30,m,,1.0065,,
Zamo,7/7/2015,15-30,60,NA,60,m,21.9,1.006,1.0030,
Zamo,7/7/2015,15-30,60,NA,90,m,,1.0059,,
Zamo,7/7/2015,15-30,60,NA,120,m,21.8,1.0055,1.0030,
Zamo,7/7/2015,15-30,60,NA,1440,m,21,1.0043,1.0030,
RICH,7/8/2015,4-7F,60,12:30:00 PM,0,s,23.4,,1.0020,
RICH,7/8/2015,4-7F,60,NA,30,s,,1.021,,
RICH,7/8/2015,4-7F,60,NA,60,s,,1.02,,
RICH,7/8/2015,4-7F,60,NA,3,m,,1.0175,,
RICH,7/8/2015,4-7F,60,NA,10,m,,1.015,,
RICH,7/8/2015,4-7F,60,NA,30,m,,1.0135,,
