sampleKEY, time, timeElapsed, actual, correct, temp, K, depth, diameter, PFpartial, PFtotal
"17","1:47","3 min","1.0020","2.0040","23.2","0.00000","0.000","0.000","0.000","0.000"
"17","1:50","3 min","1.0120","2.0470","23.4","0.00000","0.000","0.000","0.000","0.000"
"17","1:54","4 min","1.0010","2.0330","25.0","0.00000","0.000","0.000","0.000","0.000"
"20","13:09","40s","1.0190","0.0000","0.0","0.00000","0.000","0.000","0.000","0.000"
"20","13:10","2m","1.0170","0.0000","22.3","0.00000","0.000","0.000","0.000","0.000"
"20","13:13","5m","1.0145","0.0000","0.0","0.00000","0.000","0.000","0.000","0.000"
"20","13:23","15m","1.0141","0.0000","22.1","0.00000","0.000","0.000","0.000","0.000"
"20","13:38","30m","1.0124","0.0000","0.0","0.00000","0.000","0.000","0.000","0.000"
"20","14:08","60m","1.0122","0.0000","22.0","0.00000","0.000","0.000","0.000","0.000"
"20","14:38","90m","1.0119","0.0000","0.0","0.00000","0.000","0.000","0.000","0.000"
"20","15:08","2h","1.0117","0.0000","22.0","0.00000","0.000","0.000","0.000","0.000"
"20","17:08","4h","1.0108","0.0000","0.0","0.00000","0.000","0.000","0.000","0.000"
"20","13:08","24h","1.0082","0.0000","22.0","0.00000","0.000","0.000","0.000","0.000"
"21","10:32","40s","1.0296","0.0000","22.1","0.00000","0.000","0.000","0.000","0.000"
"21","10:33","2m","1.0284","0.0000","0.0","0.00000","0.000","0.000","0.000","0.000"
"21","10:36","5m","1.0258","0.0000","22.1","0.00000","0.000","0.000","0.000","0.000"
"21","10:46","15m","1.0229","0.0000","0.0","0.00000","0.000","0.000","0.000","0.000"
"21","11:01","30m","1.0215","0.0000","0.0","0.00000","0.000","0.000","0.000","0.000"
"21","11:31","60m","1.0199","0.0000","22.0","0.00000","0.000","0.000","0.000","0.000"
"21","12:01","90m","1.0180","0.0000","0.0","0.00000","0.000","0.000","0.000","0.000"
"21","12:31","2h","1.0175","0.0000","21.9","0.00000","0.000","0.000","0.000","0.000"
"21","13:31","3h","1.0169","0.0000","0.0","0.00000","0.000","0.000","0.000","0.000"
"21","16:31","6h","1.0153","0.0000","21.3","0.00000","0.000","0.000","0.000","0.000"
"21","10:31","24h","1.0135","0.0000","21.0","0.00000","0.000","0.000","0.000","0.000"
"22","09:31","40s","1.0233","0.0000","22.0","0.00000","0.000","0.000","0.000","0.000"
"22","09:32","2m","1.0225","0.0000","0.0","0.00000","0.000","0.000","0.000","0.000"
"22","09:35","5m","1.0201","0.0000","21.8","0.00000","0.000","0.000","0.000","0.000"
"22","09:45","15m","1.0180","0.0000","0.0","0.00000","0.000","0.000","0.000","0.000"
"22","10:00","30m","1.0170","0.0000","0.0","0.00000","0.000","0.000","0.000","0.000"
