sampleKEY, project, sampleID, date, researcher, computed, checked, hydrometer, pretreat, disperse, gsp, pass10, retain10, tinNum, tinTare, tinAir, tinOven, passPercent, hygroPercent, ovenDesired, ovenEquiv
"17","Test","1","7/16/16","Shimoda","Shimoda","Los Huertos","R-3 A","none","none","0.0000","147.47","47.47","T-1","47.47","147.47","100.47","47.20","0.47","47.47","47.47"
"19","USDA","TOSA 4-7F","05/27/16","Bailey Lai","","","151H #258890","","","0.0000","127.65","0.00","24","30.67","45.67","44.43","99.80","0.00","0.00","0.00"
"20","USDA","JACS 15-30","05/27/16","Bailey Lai","","","151H #258878","","","0.0000","133.69","0.00","26","30.71","45.71","43.95","98.50","0.00","0.00","0.00"
"21","USDA","TOSA 15-30","05/27/16","Bailey Lai","","","151H #258890","","","0.0000","0.00","0.00","21","30.72","45.72","44.62","100.00","0.00","0.00","0.00"
"22","USDA","TOMR 0-15","05/27/16","Bailey Lai","","","151H #258878","","","0.0000","137.10","0.00","32","0.00","45.66","44.96","99.50","0.00","0.00","0.00"
"23","USDA","TOSA 0-15","05/27/16","Bailey Lai","","","151H #258890","","","0.0000","140.40","0.00","25","30.57","45.57","44.90","99.90","0.00","0.00","0.00"
"24","USDA","TOMR 15-30","05/31/16","Bailey Lai","","","151H #258890","","","0.0000","130.07","0.00","33","30.59","45.59","45.02","99.50","0.00","0.00","0.00"
"25","USDA","JACS 0-15","05/27/16","Dmaia Curry","","","151H","","","0.0000","132.49","0.00","31","30.69","45.01","44.40","0.00","0.99","0.00","0.00"
"26","USDA","FOGL 15-30","05/27/16","Dmaia Curry","","","151H","","","0.0000","140.97","0.00","20","30.64","45.64","44.81","0.00","0.98","0.00","0.00"
"27","USDA","FOGL 0-15","05/27/16","Dmaia Curry","","","151H","","","0.0000","0.00","0.00","22","30.62","45.03","44.37","0.00","0.99","0.00","0.00"
"28","USDA","ARDI 0-15","05/31/16","Dmaia Curry","","","151H","","Sodium hexametaphosphate","0.0000","115.05","0.00","34","30.64","45.00","44.19","0.00","0.98","52.99","0.00"
"29","USDA","TOMR 4-7F","05/27/16","Dmaia Curry","","","151H","","Sodium hexametaphosphate 40g/L","0.0000","137.15","1.12","27","30.73","45.06","43.41","0.00","0.97","0.00","0.00"
"30","USDA","ARDI 15-30","05/27/16","Dmaia Curry","","","151H #2619 (?)","","Sodium hexametaphosphate","0.0000","129.05","0.00","35","30.70","45.10","44.31","0.00","0.00","0.00","0.00"
