sampleKEY, date, time, timeElapsed, timeUnit, actual, blank, temp
19,,9:58:00,40,sec,1.0305,,22.4
19,,9:59:00,2,min,1.025,,
19,,10:02:00,5,min,1.0241,,22.3
19,,10:12:00,15,min,1.0204,,
19,,10:27:00,30,min,1.0197,,
19,,10:57:00,60,min,1.017,,22.2
19,,11:27:00,90,min,1.0161,,
19,,11:57:00,2,hour,1.0158,,22
19,,12:57:00,3,hour,1.0155,,
19,,16:57:00,7,hour,1.0142,,21.4
19,,9:58:00,24,hour,1.0124,,21.8
20,,13:09:00,40,sec,1.019,1.0049,
20,,13:10:00,2,min,1.017,1.0049,22.3
20,,13:13:00,5,min,1.0145,1.0049,
20,,13:23:00,15,min,1.0141,1.0049,22.1
20,,13:38:00,30,min,1.0124,1.0049,
20,,14:08:00,60,min,1.0122,1.0049,22
20,,14:38:00,90,min,1.0119,1.0049,
20,,15:08:00,2,hour,1.0117,1.0049,22
20,,17:08:00,4,hour,1.0108,1.0049,
20,,13:08:00,24,hour,1.0082,1.0049,22
21,,10:32:00,40,sec,1.0296,,22.1
21,,10:33:00,2,min,1.0284,,
21,,10:36:00,5,min,1.0258,,22.1
21,,10:46:00,15,min,1.0229,,
21,,11:01:00,30,min,1.0215,,
21,,11:31:00,60,min,1.0199,,22
21,,12:01:00,90,min,1.018,,
21,,12:31:00,2,hour,1.0175,,21.9
21,,13:31:00,3,hour,1.0169,,
21,,16:31:00,6,hour,1.0153,,21.3
21,,10:31:00,24,hour,1.0135,,21
22,,9:31:00,40,sec,1.0233,,22
22,,9:32:00,2,min,1.0225,,
22,,9:35:00,5,min,1.0201,,21.8
22,,9:45:00,15,min,1.018,,
22,,10:00:00,30,min,1.017,,
22,,10:30:00,60,min,1.0161,,21.7
22,,11:00:00,90,min,1.015,,
22,,11:30:00,2,hour,1.015,,21.1
22,,12:30:00,3,hour,1.0145,,
22,,15:30:00,6,hour,1.014,,20.9
22,,9:30:00,24,hour,1.0133,,20.6
23,,10:31:00,40,sec,1.032,,22.1
23,,10:32:00,2,min,1.0298,,
23,,10:35:00,5,min,1.0259,,22.1
23,,10:45:00,15,min,1.0226,,
23,,11:00:00,30,min,1.0217,,
23,,11:30:00,60,min,1.0217,,21.8
23,,12:00:00,90,min,1.0217,,
23,,12:30:00,2,hour,1.0165,,21.4
23,,13:30:00,3,hour,1.0155,,
23,,16:30:00,6,hour,1.015,,20.7
23,,10:30:00,24,hour,1.0128,,20.9
24,,10:04:00,40,sec,1.022,,22
24,,10:05:00,2,min,1.021,,
24,,10:08:00,5,min,1.0203,,21.9
24,,10:18:00,15,min,1.0179,,
24,,10:33:00,30,min,1.017,,
24,,11:03:00,60,min,1.0157,,21.2
24,,11:33:00,90,min,1.0155,,
24,,12:03:00,2,hour,1.0147,,21
24,,13:03:00,3,hour,1.0145,,
24,,16:03:00,6,hour,1.0137,,20.5
24,,10:03:00,24,hour,1.0132,,20.4
25,,13:22:00,40,sec,1.019,,22.3
25,,13:24:00,2,min,1.016,,
25,,13:27:00,5,min,1.015,,22
25,,13:37:00,15,min,1.014,,
25,,13:52:00,30,min,1.011,,
25,,14:22:00,60,min,1.011,,22
25,,14:52:00,90,min,1.0103,,
25,,15:22:00,2,hour,1.0101,,21.8
25,,16:22:00,3,hour,1.01,,
25,,19:22:00,6,hour,1.008,,21.5
25,,13:22:00,24,hour,1.008,,21
26,,11:07:00,40,sec,1.019,,22
26,,11:08:00,2,min,1.017,,
26,,11:11:00,5,min,1.016,,22
26,,11:21:00,15,min,1.015,,
26,,11:36:00,30,min,1.014,,
26,,12:06:00,60,min,1.013,,21.9
26,,12:36:00,90,min,1.0123,,
26,,13:06:00,2,hour,1.0113,,21.3
26,,14:06:00,3,hour,1.0113,,
26,,17:05:00,6,hour,1.0105,,21.3
26,,11:06:00,24,hour,1.008,,21
27,,13:40:00,40,sec,1.017,,22
27,,13:42:00,2,sec,1.015,,
27,,13:45:00,5,min,1.014,,22
27,,13:55:00,15,min,1.013,,
27,,14:10:00,30,min,1.0125,,
27,,14:40:00,60,min,1.011,,22
27,,15:10:00,90,min,1.011,,
27,,15:40:00,2,hour,1.01,,21.5
27,,16:40:00,3,hour,1.01,,
27,,19:40:00,6,hour,1.007,,21.5
27,,13:40:00,24,hour,1.007,,21
28,,9:50:00,40,sec,1.031,,22
28,,9:52:00,2,min,1.03,,
28,,9:55:00,5,min,1.027,,21.9
28,,10:05:00,15,min,1.025,,
28,,10:20:00,30,min,1.022,,
28,,10:50:00,60,min,1.02,,21.5
28,,11:20:00,90,min,1.019,,
28,,11:50:00,2,hour,1.019,,21.3
28,,12:50:00,3,hour,1.018,,
28,,15:50:00,6,hour,1.017,,20.9
28,,9:50:00,24,hour,1.016,,20.9
29,,11:02:00,40,sec,1.021,,24
29,,11:04:00,2,min,1.02,,
29,,11:07:00,5,min,1.018,,23
29,,11:17:00,15,min,1.016,,
29,,11:32:00,30,min,1.0155,,
29,,12:02:00,60,min,1.014,,22.3
29,,12:32:00,90,min,1.014,,
29,,13:02:00,2,hour,1.014,,21.9
