sampleKEY, date, time, timeElapsed, timeUnit, actual, blank, temp
20,,0.547916667,40,sec,1.019,1.0049,
20,,0.548611111,2,min,1.017,1.0049,22.3
20,,0.550694444,5,min,1.0145,1.0049,
20,,0.557638889,15,min,1.0141,1.0049,22.1
20,,0.568055556,30,min,1.0124,1.0049,
20,,0.588888889,60,min,1.0122,1.0049,22
20,,0.609722222,90,min,1.0119,1.0049,
20,,0.630555556,2,hour,1.0117,1.0049,22
20,,0.713888889,4,hour,1.0108,1.0049,
20,,0.547222222,24,hour,1.0082,1.0049,22
21,,0.438888889,40,sec,1.0296,,22.1
21,,0.439583333,2,min,1.0284,,
21,,0.441666667,5,min,1.0258,,22.1
21,,0.448611111,15,min,1.0229,,
21,,0.459027778,30,min,1.0215,,
21,,0.479861111,60,min,1.0199,,22
21,,0.500694444,90,min,1.018,,
21,,0.521527778,2,hour,1.0175,,21.9
21,,0.563194444,3,hour,1.0169,,
21,,0.688194444,6,hour,1.0153,,21.3
21,,0.438194444,24,hour,1.0135,,21
22,,0.396527778,40,sec,1.0233,,22
22,,0.397222222,2,min,1.0225,,
22,,0.399305556,5,min,1.0201,,21.8
22,,0.40625,15,min,1.018,,
22,,0.416666667,30,min,1.017,,
22,,0.4375,60,min,1.0161,,21.7
22,,0.458333333,90,min,1.015,,
22,,0.479166667,2,hour,1.015,,21.1
22,,0.520833333,3,hour,1.0145,,
22,,0.645833333,6,hour,1.014,,20.9
22,,0.395833333,24,hour,1.0133,,20.6
23,,0.438194444,40,sec,1.032,,22.1
23,,0.438888889,2,min,1.0298,,
23,,0.440972222,5,min,1.0259,,22.1
23,,0.447916667,15,min,1.0226,,
23,,0.458333333,30,min,1.0217,,
23,,0.479166667,60,min,1.0217,,21.8
23,,0.5,90,min,1.0217,,
23,,0.520833333,2,hour,1.0165,,21.4
23,,0.5625,3,hour,1.0155,,
23,,0.6875,6,hour,1.015,,20.7
23,,0.4375,24,hour,1.0128,,20.9
24,,0.419444444,40,sec,1.022,,22
24,,0.420138889,2,min,1.021,,
24,,0.422222222,5,min,1.0203,,21.9
24,,0.429166667,15,min,1.0179,,
24,,0.439583333,30,min,1.017,,
24,,0.460416667,60,min,1.0157,,21.2
24,,0.48125,90,min,1.0155,,
24,,0.502083333,2,hour,1.0147,,21
24,,0.54375,3,hour,1.0145,,
24,,0.66875,6,hour,1.0137,,20.5
24,,0.41875,24,hour,1.0132,,20.4
25,,0.556944444,40,sec,1.019,,22.3
25,,0.558333333,2,min,1.016,,
25,,0.560416667,5,min,1.015,,22
25,,0.567361111,15,min,1.014,,
25,,0.577777778,30,min,1.011,,
25,,0.598611111,60,min,1.011,,22
25,,0.619444444,90,min,1.0103,,
25,,0.640277778,2,hour,1.0101,,21.8
25,,0.681944444,3,hour,1.01,,
25,,0.806944444,6,hour,1.008,,21.5
25,,0.556944444,24,hour,1.008,,21
26,,0.463194444,40,sec,1.019,,22
26,,0.463888889,2,min,1.017,,
26,,0.465972222,5,min,1.016,,22
26,,0.472916667,15,min,1.015,,
26,,0.483333333,30,min,1.014,,
26,,0.504166667,60,min,1.013,,21.9
26,,0.525,90,min,1.0123,,
26,,0.545833333,2,hour,1.0113,,21.3
26,,0.5875,3,hour,1.0113,,
26,,0.711805556,6,hour,1.0105,,21.3
26,,0.4625,24,hour,1.008,,21
27,,0.569444444,40,sec,1.017,,22
27,,0.570833333,2,sec,1.015,,
27,,0.572916667,5,min,1.014,,22
27,,0.579861111,15,min,1.013,,
27,,0.590277778,30,min,1.0125,,
27,,0.611111111,60,min,1.011,,22
27,,0.631944444,90,min,1.011,,
27,,0.652777778,2,hour,1.01,,21.5
27,,0.694444444,3,hour,1.01,,
27,,0.819444444,6,hour,1.007,,21.5
27,,0.569444444,24,hour,1.007,,21
28,,0.409722222,40,sec,1.031,,22
28,,0.411111111,2,min,1.03,,
28,,0.413194444,5,min,1.027,,21.9
28,,0.420138889,15,min,1.025,,
28,,0.430555556,30,min,1.022,,
28,,0.451388889,60,min,1.02,,21.5
28,,0.472222222,90,min,1.019,,
28,,0.493055556,2,hour,1.019,,21.3
28,,0.534722222,3,hour,1.018,,
28,,0.659722222,6,hour,1.017,,20.9
28,,0.409722222,24,hour,1.016,,20.9
29,,0.459722222,40,sec,1.021,,24
29,,0.461111111,2,min,1.02,,
29,,0.463194444,5,min,1.018,,23
29,,0.470138889,15,min,1.016,,
29,,0.480555556,30,min,1.0155,,
29,,0.501388889,60,min,1.014,,22.3
29,,0.522222222,90,min,1.014,,
29,,0.543055556,2,hour,1.014,,21.9
29,,0.584722222,3,hour,1.013,,
29,,0.709722222,6,hour,1.0125,,21
29,,0.459722222,24,hour,1.011,,21
30,,0.421527778,40,sec,1.027,2.032,22
30,,0.422916667,2,min,1.026,2.031,
30,,0.425,5,min,1.025,2.03,21.9
30,,0.431944444,15,min,1.021,2.026,
30,,0.442361111,30,min,1.02,2.025,
30,,0.463194444,60,min,1.019,2.024,21.5
30,,0.000127315,90,min,1.018,2.023,
30,,0.504861111,2,hour,1.017,2.022,21
30,,0.546527778,3,hour,1.016,2.021,
30,,0.671527778,6,hour,1.016,2.021,20.9
30,,0.421527778,24,hour,1.015,2.02,20.9
37,,0,40,sec,1.012,,
38,42582,0.425694444,40,sec,1.012,,
38,42582,0.427083333,2,min,1.011,,
38,42582,0.429166667,5,min,1.0106,1.003,23
38,42582,0.436111111,15,min,1.0104,,
38,42582,0.446527778,30,min,1.0102,,
38,42582,0.467361111,60,min,1.0102,1.0028,22.3
38,42582,0.509027778,2,hour,1.01,1.0026,22
38,42582,0.259027778,6,hour,1.0095,1.003,21
38,42583,0.425694444,24,hour,1.0075,1.003,20
39,42582,0,40,sec,1.012,1.0021,23
39,42582,0,40,sec,1.0115,,
39,42582,0.390277778,40,sec,1.0116,,
39,42582,0.391666667,2,min,1.0106,,
39,42582,0.39375,5,min,1.01,1.0025,23
39,42582,0.400694444,15,min,1.009,,
39,42582,0.411111111,30,min,1.0081,,
39,42582,0.431944444,60,min,1.008,1.0022,22
39,42582,0.473611111,2,hour,1.0072,1.003,21.6
39,42582,0.640277778,6,hour,1.0067,1.003,21.4
39,42583,0.390277778,24,hour,1.006,1.003,20
40,42582,0,40,sec,1.0062,1.0024,22
40,42582,0,40,sec,1.0065,,
40,42582,0.411805556,40,sec,1.0063,,
40,42582,0.413194444,2,min,1.0062,,
40,42582,0.415277778,5,min,1.0058,1.0021,22
40,42582,0.422222222,15,min,1.0056,,
40,42582,0.432638889,30,min,1.0055,,
40,42582,0.453472222,60,min,1.0054,1.003,21.5
40,42582,0.495138889,2,hour,1.0054,1.0028,21.1
40,42582,0.661805556,6,hour,1.0052,1.0029,21
40,42583,0.411805556,24,hour,1.004,1.003,20
41,42582,0,40,sec,1.011,1.0023,22
41,42582,0,40,sec,1.0096,,
41,42582,0.4,40,sec,1.0095,,
41,42582,0.401388889,2,min,1.0088,,
41,42582,0.403472222,5,min,1.0082,1.0024,22
41,42582,0.410416667,15,min,1.008,,
41,42582,0.420833333,30,min,1.0076,,
41,42582,0.441666667,60,min,1.0071,1.0029,22
41,42582,0.483333333,2,hour,1.0067,1.003,21
